City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Amuñgan,15.3652,119.9582,86.61,71,70,5.01,PH,1697434635
281,Miyazu,35.5333,135.1833,71.8,53,17,9.51,JP,1697434636
282,Texarkana,33.4251,-94.0477,52.11,82,0,5.75,US,1697434539
283,Chunskiy,56.0815,99.6342,39.67,86,100,8.97,RU,1697434636
284,Ejirin,6.6142,3.9002,76.75,94,95,2.37,NG,1697434636
285,Qulsary,46.9531,54.0198,55.47,41,0,18.95,KZ,1697434637
286,Kirakira,-10.4544,161.9205,82.65,79,93,4.36,SB,1697434637
287,Gizo Government Station,-8.103,156.8419,84.36,76,64,6.82,SB,1697434638
288,Qom,34.6401,50.8764,71.58,29,6,5.06,IR,1697434638
289,Chamical,-30.36,-66.314,72.7,40,80,4.0,AR,1697434638
290,Umba,66.6871,34.3429,38.39,65,100,11.99,RU,1697434639
291,El Granada,37.5027,-122.4694,65.14,82,20,10.36,US,1697434639
292,Shache,38.4167,77.2406,68.13,20,100,4.81,CN,1697434640
293,Koronowo,53.3137,17.937,42.84,94,30,13.47,PL,1697434640
294,Chonchi,-42.6128,-73.8092,43.12,98,79,2.84,CL,1697434640
295,Molėtai,55.2333,25.4167,39.4,89,78,7.9,LT,1697434641
296,Suntar,62.1444,117.6319,29.14,83,100,8.01,RU,1697434641
297,Balotra,25.8333,72.2333,89.51,36,29,14.65,IN,1697434642
298,Ribas do Rio Pardo,-20.4431,-53.7592,81.0,52,93,4.32,BR,1697434642
299,Atkarsk,51.8718,45.0078,55.15,65,0,17.49,RU,1697434643
300,Conception Bay South,47.4999,-52.9981,52.74,96,100,10.04,CA,1697434643
301,Jolo,6.05,121.0167,86.04,66,65,1.77,PH,1697434644
302,Idanre,7.1127,5.1159,71.44,98,100,1.63,NG,1697434644
303,Askøy,60.4092,5.226,39.74,100,75,2.3,NO,1697434645
304,Crane,31.3974,-102.3501,56.68,43,0,8.39,US,1697434645
305,Lycksele,64.5954,18.6735,35.47,69,98,14.97,SE,1697434645
306,Cologne,50.9333,6.95,41.86,90,32,2.48,DE,1697434576
307,Queenstown,-31.8976,26.8753,53.78,88,100,6.91,ZA,1697434645
308,San Borja,-14.8167,-66.85,78.55,56,33,2.95,BO,1697434646
309,Korostyshiv,50.3172,29.0563,44.74,70,100,10.74,UA,1697434646
310,Laojunmiao,39.8333,97.7333,47.84,36,98,4.41,CN,1697434646
311,Sanya,18.2431,109.505,89.76,55,40,11.18,CN,1697434646
312,Massakory,12.996,15.7293,85.08,56,44,3.49,TD,1697434647
313,Ta`ū,-14.2336,-169.5144,79.29,78,52,22.32,AS,1697434647
314,Ascope,-7.7144,-79.1078,63.73,84,88,3.58,PE,1697434647
315,Quibdó,5.6947,-76.6611,73.53,99,95,1.72,CO,1697434648
316,Vorkuta,67.5,64.0,32.2,99,100,9.17,RU,1697434648
317,Astara,38.5,48.6667,67.98,80,98,3.69,AZ,1697434648
318,Shanwei,22.782,115.3475,80.92,63,78,11.68,CN,1697434649
319,Ürümqi,43.801,87.6005,50.95,58,20,6.71,CN,1697434650
320,Yelizovo,53.1873,158.3805,48.34,100,75,11.18,RU,1697434650
321,Katsuren-haebaru,26.3369,127.8719,83.17,43,20,12.66,JP,1697434650
322,Claveria,18.6074,121.0832,84.83,69,56,13.87,PH,1697434651
323,Kabalo,-6.05,26.9167,76.64,74,93,3.78,CD,1697434651
324,Vila Velha,-20.3297,-40.2925,73.35,99,75,2.3,BR,1697434652
325,Bereeda,11.8704,51.0579,84.29,59,6,4.38,SO,1697434652
326,Pontianak,-0.0333,109.3333,89.58,66,75,5.75,ID,1697434653
327,São Vicente,-23.9631,-46.3919,75.38,26,9,1.1,BR,1697434653
328,Freetown,8.484,-13.2299,77.45,82,80,1.16,SL,1697434653
329,Trondheim,63.4305,10.3951,42.89,93,100,1.99,NO,1697434654
330,Cologne,50.9333,6.95,41.86,90,32,2.48,DE,1697434408
331,Jamestown,42.097,-79.2353,47.79,98,100,5.75,US,1697434434
332,Selsey,50.735,-0.7898,46.0,87,100,1.01,GB,1697434655
333,Castillos,-34.1667,-53.8333,60.33,92,100,11.99,UY,1697434655
334,Koné,-21.0595,164.8658,76.39,73,99,6.04,NC,1697434656
335,Gouré,13.9835,10.2704,82.54,24,51,8.3,NE,1697434656
336,Egilsstadir,65.2653,-14.3948,35.51,93,100,4.61,IS,1697434657
337,San Juan,-31.5375,-68.5364,69.85,23,0,21.88,AR,1697434657
338,Eyl,7.9803,49.8164,84.54,64,87,3.58,SO,1697434657
339,Taroa,8.7058,171.2275,82.96,73,100,9.73,MH,1697434658
